additional_comments_or_suggestions_about_Application_and_Registration_Process.csv,additional_comments_or_suggestions_about_the_Curriculum.csv,additional_comments_or_suggestions_about_Networking.csv,additional_comments_or_suggestions_about_the_Bonus_Lectures.csv,additional_comments_or_suggestions_about_the_Operational_and_Technical_Aspects.csv,additional_comments_or_suggestions_about_the_Practice_Weeks.csv,additional_comments_or_suggestions_about_the_Schedule_and_Attandance.csv,additional_comments_or_suggestions.csv,should_exams_be_part_of_the_curriculum.csv,screening_criteria.csv,decision_to_sign.csv,members_content.csv,what-kind-of-interactivity.csv,suggested-price.csv,what-to-add-for-curriculum.csv
Keep doing what your doing to improve basketball over the word .. and for sure keep people like jelena talking to the coaches ,,,,,,3,Thanks for everything,Yes,Resume,A greek coach,Q&A,Questions in the end or seperate session,Same as the 4th G,Sports Psychology
,Would be great to add on Court Lectures concerning Athletic Training ,,The Bonus Lectures were outstanding ,,,5,The EHCB provides an excellent opportunity to learn for Coaches of all levels.  The first rate instruction from qualified professionals cannot be matched.,Yes,"Resume, Recommendation Letter, Interview Commission consisting of 3 people",Website,"Q&A, Topic based","The format as is it now provides for interaction and questions, thisworksgreat",Should stay the same,Sports Psychology
More practice week,,,,,,4,-,Yes,Coaching Licence Level,Former Alumni(s),Topic based,"More like a video cast, one way communication to watch it later",-,Sport Management
Everything was perfect,,,,,They way how you organize that was an amazing.,5,Definitly I will join again... next generation,No,"Resume, Recommendation Letter",Social Media Post(s),"Q&A, Topic based",Questions in the end or seperate session,"I think will bw great if you organize practice week for youth cathegories teams. For example we check how the youths wotk, have e meeting with their supervisors, talk each other about the system ",Sport Management
,,,,,,5,It was great opportunity to be connected with international coaches from land of Japan. I’d like to keep in touch those people for long time. ,No,Resume,"Website, Social Media Post(s), Phone Call Interview",Topic based,Questions in the end or seperate session,I feel same range of price is fine. ,Sports Psychology
,,,,,,4,In my opinion EHCB 4th generation was success!!!,Yes,Recommendation Letter,"Website, Social Media Post(s), Phone Call Interview",Q&A,"Direct questions to the students, Instant questions allowed",I think current price is totally fine,"Sport Management, Sports Psychology"
,,,,,,4,It was wonderful,Yes,Minimum # of years of experience,"Social Media Post(s), Phone Call Interview","Q&A, Topic based",Questions in the end or seperate session,2500$,"Sport Management, Sports Psychology"
,,,,,,4,nothing,Yes,Coaching Licence Level,"Website, Social Media Post(s), Video Call Interview",Q&A,Questions in the end or seperate session,1000,Sports Psychology
I would say that senior coaches should have separated clinic level in order to have all the same interest in learning or questioning. ,Strenght and conditioning as an important part of basketball should be more basketball oriented and more practical than theoritical. It has to be simple in order for is coaches to u derstand it and implement it better,I belive there should have been designated seats depnding in the participants. Ehcb students shoud have been separated from other coaches. Ehcb students shoud have special meetings with ehcb coaches memberes in order to have more time to get knowledge from them.,I would like to have topic based and practical lectures and then move to questions and answers,,I haven't attended any practice week I wish I could,4,At the congress coaches should have special meetings with ehcb members in order to get mor knowledge 1v1 questioning ,No,Coaching Licence Level,"Former Alumni(s), Congress from previous generations",Topic based,Instant questions allowed,1200$,Sports Psychology
,,I did not participate to Congress so I put 3 on those questions. Kinda neutral,,,,4,I loved it. Had to watch lectures afterwards because my practices were most of the time at the same time with lectures. But I think it was good. It gave me more to think the topics,Yes,"Resume, Minimum # of years of experience",Website,Topic based,"Questions in the end or seperate session, More like a video cast, one way communication to watch it later",2000e,Sports Psychology
,,,,,,5,"Well done, I cannot wait for the next year to start. ",Yes,Coaching Licence Level,Social Media Post(s),Topic based,"More like a video cast, one way communication to watch it later",2000,Sport Management
,,,,,,5,Special thanks to Jelena Todorovic ,Yes,"Resume, Recommendation Letter, Minimum # of years of experience, Coaching Licence Level, English language level","Website, Social Media Post(s), Former Alumni(s), Phone Call Interview, Video Call Interview","Q&A, Topic based, practical teaching",Questions in the end or seperate session,2000,"Sport Management, Sports Psychology"
,,Did not attend the congres,,,Did not participate on practice week due private reasons,5,Keep it on,Yes,Resume,Video Content from previous generations,Topic based,Questions in the end or seperate session,300,Sport Management
,,,,,,4,"A great experience for us and for you as an academy... I believe that we have all progressed and that we have seen the shortcomings that should improve us.  My suggestion is to increase the number of staff in the organization, to describe more precisely the practice weeks and the obligations of all participants (students, clubs, staff)... it can always be better, I believe that it will be.",Yes,"Resume, Minimum # of years of experience","Social Media Post(s), Video Content from previous generations, Congress from previous generations, Phone Call Interview",Topic based,Questions in the end or seperate session,2500,Sports Psychology
,,,,,,4,It was great,Yes,Resume,Social Media Post(s),Topic based,Questions in the end or seperate session,I am happy with price,Sports Psychology
,"As I said before, maybe content and especially professors can inquire participants to do more during class. Try to make some quizes, Q&A live, try to find solutions for situations, try to give some videos to analyze live, talk about mistakes in their answers and etc. More communication and activities during lessons. Instead of talking a lot and waiting for questions at the end.",,,,,5,I have made the comments before. Anything else was really good.,Yes,"Recommendation Letter, It should be accessible for everybody, independently from level. But recommendation letter should be necessary.",Social Media Post(s),"Q&A, Topic based, More content that would invite participants to give answer and talk. Maybe some tasks to do during live lecture.","Direct questions to the students, Questions in the end or seperate session, More like a video cast, one way communication to watch it later",Hard to tell. Probably it is independent on aspects that is not dependent from future students.,"Sport Management, Sports Psychology"
None ,,I didn’t attend ,,,,3,Was great experience ,Yes,Resume,Phone Call Interview,"Q&A, Topic based",Questions in the end or seperate session,Same ,Sport Management
,"Look for a partner for scouting software, video editing. And a course about that . You can ask Gabor to do it. He tought me how to do it when we were in Berlin ",,,,,5,None,Yes,Open mindset. Willingness to get beter and share with other coaches,Congress from previous generations,"Q&A, Topic based",Instant questions allowed,The same,"Sports Psychology, Soft skills. People management, leadership, giving feedback "
,,,,,I haven’t joined the practice week ,5,I would like to suggest to enter some group case studies during the lectures ,No,"Resume, Recommendation Letter, Coaching Licence Level",Social Media Post(s),"Q&A, Topic based","Instant questions allowed, Questions in the end or seperate session, More like a video cast, one way communication to watch it later",Same price ,Sport Management
,,,,,,4,"Overall, a fantastic experience with the EHCB Academy. A really well organised programme for coaches aspiring to be at the professional level. I would highly recommend the program to others.",No,"Resume, Coaching Licence Level","Website, Social Media Post(s), Former Alumni(s), Video Content from previous generations",Topic based,,€2-2.5k,Sports Psychology
Provide the information on the approx length (1.5-2 hrs) and content of the lectures. ,Good mix of lectures for youth and senior levels. A suggestion could be to add sports psychology for the coaches (mental health for the coaches). ,Great thing with the live stream for those who were not able to attend. ,Nice option to have for the enthusiasts that want to learn more. ,"Yigit was very present and helpful with the uploading of the lectures and documents plus present during the lectures when Jelena was absent. 

Jelena did her best organzing the lectures, meetings and providing the necessary information. Unfortunately, she is not responsable for students reading and organization skills. ",Take into considerations the teams schedule and national holidays. ,5,"Lots of the content was repetition for me from a previous course, but it is good  while pther content was new and very giving especially when it comes to scouting and S&C. Good with new collaborations and new future opportunities for the upcoming generations. Many colleagues have asked me about the program and I have suggested it to some of them. ",Yes,"Minimum # of years of experience, Coaching Licence Level","Website, Phone Call Interview","Q&A, Topic based, It is good to have both of the options above.  ","Direct questions to the students, Questions in the end or seperate session","2500 including a specific amount of extra lectures (10). For the students, the costs for the practice weeks is individual. Nog aware of what the expenses are for the EHCB and their coaches. ","Sport Management, Sports Psychology"
It's was great experience for me as a yang coach ,For me everything was on top level 🏀🏀🏀,,Perfect coaches great lectures all the best...,,I was part of Madrid group great experience ones in life... 🏀🏀🏀,4,I hope we can make these also for Asian Market and have more students next year 💪,Yes,"Resume, Recommendation Letter, Minimum # of years of experience","Website, Social Media Post(s), Former Alumni(s), Video Content from previous generations","Q&A, Topic based","More like a video cast, one way communication to watch it later",2000 euros... Can pay in two part ,Sports Psychology
,Some of the medical/physical went into a lot of small detail that realistically no coach would ever need to know.,I could not make congress due to the birth of my daughter but the online was fantastic,,No issues at all,,5,I already know at least 2 Irish coaches that are thinking of applying for next years academy.,Yes,Minimum # of years of experience,"Website, Video Content from previous generations",Q&A,Questions in the end or seperate session,"The same, ",Sports Psychology
,Technology applied to basketball ,,,,,5,"I suggest EHCB promote more group work for the students, which would create more connections between them.",Yes,"Resume, Recommendation Letter, Coaching Licence Level","Website, Phone Call Interview, Video Call Interview","Q&A, Topic based","Direct questions to the students, Questions in the end or seperate session","Hard to say. I could do because I had scholarships, every country has different economic situation and different basketball development program. ",Sports Psychology
,,,,,,5,Going to be an ambassador again next year,Yes,Resume,"Website, Social Media Post(s), Video Content from previous generations, Congress from previous generations, Video Call Interview",Topic based,"Direct questions to the students, Instant questions allowed, Questions in the end or seperate session",Same,"Sport Management, Sports Psychology"
,,,,,,4,I would like to have the nba option,Yes,"Resume, Coaching Licence Level","Social Media Post(s), Video Content from previous generations",Topic based,Questions in the end or seperate session,1000,Sport Management
,,,,,,5,Great job!,Yes,"Resume, Recommendation Letter",Phone Call Interview,"Topic based, Topic Based, then Q&A about that topic",Questions in the end or seperate session,2000e,Sports Psychology
,,,,,,5,Cant thank the team enough ,No,Resume,"Former Alumni(s), Phone Call Interview, Emails",Q&A,Direct questions to the students,2k,Sports Psychology
,,,,,,5,"The practice week was the best basketball experience in my life.
This is the most significant section.",Yes,"Minimum # of years of experience, Coaching Licence Level",Advice from coach Sergio Scariolo,Topic based,Questions in the end or seperate session,2000,Sports Psychology
,,,,,,2,It was a great experience and definitely it helped me to become a better coach and also to realize that I want to improve more and more,Yes,Coaching Licence Level,"Website, Social Media Post(s)",Q&A,"More like a video cast, one way communication to watch it later",2000,Sports Psychology
I didn t knew we could pay in 2 or 3 instalment payments,"it s a growing part of our world ,so this is why I choose media prep ",,no,,,4,"up until now I can t add nothing more,",Yes,Resume,Former Alumni(s),"Topic based, and at the end q&a",Questions in the end or seperate session,2000,"Sports Psychology, Maybe media prep"
,,,,,,5,R,Yes,"Minimum # of years of experience, Coaching Licence Level",Social Media Post(s),Topic based,Questions in the end or seperate session,2500,"Sport Management, Sports Psychology"
The call with Jelena helped me a lot to learn more about the academy and how will the whole process unfold . I believe it will be easier for the staff of the academy if some of those instructions were sent into a video format through email to save them time and decrease the number of questions coaches will have.,"As a youth coach i found it difficult to implement some of the things learned from the lectures although very helpful for future use in my career, I would love to see more specific lectures on youth development even for 10-year-olds. I believe it will help a lot more coaches like me and guide them through on how to structure their season and sessions when coaching younger kids.  Getting knowledge from the best coaches in the world who went through those stages to get to where they are now would be amazing.",,Taking into considerations how busy head coaches are it is difficult to have it all planned out ahead so i think the organization part was amazing together with the fact that we could download the bonus lectures and rewatch them was absolutely great for me.,,,5,I love the fact that we meet so many coaches from all over the world and instantly connect because of the love we have for the game. This academy has opened so many doors to all of us with the connections we have created and it will be amazing to see how we can use it in the future and to organize different things between us ,Yes,Resume,Website,"Q&A, Topic based","Questions in the end or seperate session, More like a video cast, one way communication to watch it later",1500,Sports Psychology
,,"I didn’t get to attend the congress but following along online. Everything looked great, the content was surely beneficial and I’m sure people made lasting relationships from it. ",,"Everything was ran great and if there was any issue, it was fixed right away.","This was an unreal experience. I got to bond with my peers in a different way, and they were a big help in my experience outside of the court.",5,"I have already recommended this academy to a number of my colleagues! Being a part of this academy changed my whole perspective on coaching and allowed me a lens into how basketball is taught, coached and played in Europe. This academy has made me a better coach and teacher. I hope to continue to network and build relationships with the people I met and will meet in the future.",No,Resume,Former Alumni(s),Q&A,Questions in the end or seperate session,3500,Sports Psychology
/,/,/,,/,/,4,/,Yes,"Resume, Recommendation Letter","Former Alumni(s), Congress from previous generations","Q&A, Topic based","Direct questions to the students, Questions in the end or seperate session",/,Sports Psychology
,,,,,,5,na,Yes,"Resume, Recommendation Letter, Minimum # of years of experience",Phone Call Interview,Topic based,"More like a video cast, one way communication to watch it later",a reasonable increase in price,Sport Management
The applicants should prove their relation with the sport and expound their intentions about their application.,"Medical lessons should be in relation to the sport rather than theoreticall. Also, i think that S&C lessons should have less hours in curriculum and you may add individual training lessons instead.",It should be great if there was something like an HR desk there in order to file your CV or maybe take some guidance for the future etc ,,,It would be great if we had much more interaction with assistant coaches about their role in the team. ,5,"My suggestion would be to introduce somewhat of a department that can guide coaches for further improvement in matters like technical knowledge (using basketball software much needed nowadays), seminars of experts such as individual trainers etc and maybe an office that can help coaches find job vacancies.",Yes,"Recommendation Letter, Minimum # of years of experience","Website, Congress from previous generations, Phone Call Interview","Q&A, Opportunities to attend their practices and their off-season",Questions in the end or seperate session,Same as previous ,Sport Management
,,,,,I didnt participate for Practice weeks,5,Nothing to add,Yes,"Resume, Coaching Licence Level",Website,Topic based,Direct questions to the students,"Same price, practice weeks for extra payment",Sport Management
,,,,,,4,"I will appreciate it if during the practice week we can be more involved , and be closer to the team especially in game days ",Yes,Minimum # of years of experience,Former Alumni(s),Topic based,Questions in the end or seperate session,1000,"Sport Management, Sports Psychology"
,,,,,,5,"Better English speaking professors from Belgrade uNi, better organization on the congress for the students, better package(it looked like just to get rid of us t-shirt)on the registration, you should ve  make one-2 locals where students get discount not just for the money but also everyone would go there, one organized dinner would Ve been nice also at the beginning ",Yes,"Resume, Recommendation Letter, Coaching Licence Level",Website,Topic based,Questions in the end or seperate session,2000,Sports Psychology
,,,,,,5,None ,Yes,"Resume, Recommendation Letter","Website, Video Content from previous generations, ","Q&A, Topic based","Instant questions allowed, Questions in the end or seperate session",I believe it should remain the same ,"Sport Management, Sports Psychology"
,,,,,Probably it can be a big help if the host club can help with the local transportation.,3,"Make the program more exclusive, I mean better selection of the students.",Yes,"Resume, Recommendation Letter","Website, Former Alumni(s)","Q&A, Topic based","More like a video cast, one way communication to watch it later",Same like this year,Sports Psychology
,"Too many non basketball related topics. The courses/presentations from the University were horrible although the professors were committed to help. The academic basketball lectures were very basic. Presenters were reading the slides most of the time. Low value.

The video platform was good. Every basketball topics from couches are appreciated and the chance of asking them questions is great.","No AC in the arena. It was extremely hot in the afternoon. The schedule didn't allow a proper lunch break. There could have been some networking activity or tools in place to meet coaches based on what we're looking for. We couldn't really meet the Euroleague coaches after the sessions (just briefly).
Nothing was organized for us after the sessions. We were on our own. ",,Communicating on WhatsApp is a no go. Use Slack or Discord with dedicated channels for clarity. Links to Zoom meetings were lost in the WhatsApp chat. The tone of communication was very often not professional or judgmental. The recordings were not always on the webpage. Very poor communication effectiveness despite the effort of Jelena and the team. They need the right tools in my opinion.,,1,"The access to the video platform is great. 

Suggestions:
- connect coaches together based on what they're looking for (online and on site at the congress)
- don't add paid sessions on the go 
- mentor or guide the students to advance in their career",No,Coaching Licence Level,"Website, Social Media Post(s)",Topic based,Questions in the end or seperate session,Same,Sports Psychology
ALL WAS PERFECT,more scouting lectures as is the base for new coaches to take job,,,,,4,better system for sharing PDF will be good for next generation,Yes,"Resume, Minimum # of years of experience, Coaching Licence Level","Website, Social Media Post(s), Former Alumni(s), Video Content from previous generations, Congress from previous generations",Topic based,"Direct questions to the students, Instant questions allowed",1500,"Sport Management, Sports Psychology"
,,,,,,5,EHCB Is not only about basketball is about connecting with colleagues and share basketball knowledge ,Yes,"Resume, Coaching Licence Level",Former Alumni(s),Q&A,Direct questions to the students,1500,Sport Management
,,,,,,5,Everything was perfect.,Yes,Recommendation Letter,Social Media Post(s),Q&A,Direct questions to the students,3000 Eur,Sports Psychology
/,/,/,Great addition to the course. I like the variety of coaches who gave a lecture.,/,,5,/,No,Coaching Licence Level,Congress from previous generations,Topic based,Questions in the end or seperate session,/,Sports Psychology
Better navigation on the website,,,,,,5,It was Great,Yes,"Resume, Recommendation Letter, Coaching Licence Level","Website, Social Media Post(s), Former Alumni(s), Congress from previous generations, Phone Call Interview, Video Call Interview",Q&A,"Direct questions to the students, Questions in the end or seperate session",4000,Sports Psychology
You may start to use guys from previous generations for interviews) but still continue interviewing with Jelena),"For lectures slides and topics are almost identical, I would suggest for speakers to be more free (don’t just repeat slides). 
For not basketball lectures (nutrition for example) it would be great to have some kind of translate)))
Adding more coaches who works individually with pro players and some topics from them also would be great
Adding pro apps for scouts and teaching how to use them, maybe have some discounts or account for them to use
Add some free-talk calls without lectures and topics, just to talk
",,Make them longer),I saw how it was improving throughout the year) just continue),Make more in Russia),4,Already in other sections ,Yes,"Resume, Recommendation Letter","Phone Call Interview, Advice of highly rated coach of pro team",Topic and Q&A together ,Individual video calls after topic based lectures ,2200 euros,"Sport Management, Add coached that are fully focused on individual practices"
"Provide way to pay online,","Sharing of more specific content, for instance if the topic is scouting we can discuss an actual scout report or player for that matter ",,,Microsoft teams communication with regards to tests and availability was not really functioning great and the time zone was also an issue. Finally got it solved but it took a while ,,5,There was minimal interaction during lectures ,Yes,Continuous development of candidate ,Former Alumni(s),Q&A,Instant questions allowed,$1500 since not everyone is able to attend the practice week ,Sports Psychology
,,,,,,5,Thank you for everything ,Yes,,Phone Call Interview,"Q&A, Topic based",Questions in the end or seperate session,"În my opinion what I gained is priceless. Any amount should be paid for For the amount of information, interactions and networking. ","Sport Management, Sports Psychology"
,,,The Joe Mazzula q and a was the best of all the lectures. ,It was great having a WhatsApp group to communicate with other coaches. But sometimes it was hard to keep up.,,2,I was overall very happy. It was hard doing this and guiding my team for the first time in the top division and especially tough in the playoffs and final 4 in the cup (to balance everything). So that is the biggest hurdle in my mind.,Yes,"Resume, Recommendation Letter, Minimum # of years of experience",Former Alumni(s),"Q&A, Topic based, Practical stuff: Day to day operations, practice planning etc",Instant questions allowed,Not sure,"Sport Management, Sports Psychology, More technical stuff. "
I appreciated the process. I trusted the process. ,"It was good. really, it was good. ",the 2024 was my second congress (2023 first) I would try to make the 2025 for sure. ,appreciate Jelena's effort and thankful to every coach that talked with us.  ,"Yigit and Gabor did a very good job, we were in good hands all the way. ","I had miss my Week, I had a job interview in the US (I got the job)",5,EHCB should add a yearly membership fee and a member card with access to the names and contract of the other member. ,Yes,"Resume, Recommendation Letter, Minimum # of years of experience, I think there is value to bring in young coaches but the academy needs to stay prestigious, so maybe academy for young coaches and one for master coaches?   ",Congress from previous generations,"Q&A, Topic based, I liked both. ","Direct questions to the students, Instant questions allowed, Questions in the end or seperate session, More like a video cast, one way communication to watch it later","It is difficult to say, but I would argue that 2000 Euros is cheap. I would have think that 5000 Euros are a fair price. ",Sport Management
,,,,,I didn't participate in the practice weeks because I didn't have the means to travel and stay in Europe,2,The EHCB Academy provides a content-rich course as well as great networking with some of the best professionals in the industry. I hope it continues to grow and help develop the beautiful game of basketball all over the world,Yes,Resume,"Former Alumni(s), Phone Call Interview",Topic based,Instant questions allowed,2000,Sport Management
,There was some lectures so basic for the level of the coaching academy.,,,,,4,.,No,"Resume, Minimum # of years of experience, Coaching Licence Level","Video Content from previous generations, Congress from previous generations, Phone Call Interview",Topic based,Instant questions allowed,1500,Sport Management
,"When talking about basketball, professors could propose a topic, tactic situation, time out... and the students have to decide what they do in that situation, and discuss that decision with the professor or EHCB coaches. ",,,,I didn't join any practice but I did it on previous generations in Belgrade and Madrid ,4,Forum in the website to discuss in a more organized way ,Yes,"Coaching Licence Level, Coaches could do a small task prior their admissions to check their knowledge about basketball","Website, Social Media Post(s)",Topic based,Direct questions to the students,2000€ but always with the opportunity to get scholarships by collaborating with the academy ,Sports Psychology
,,,,There was alot of places to get the information from,I was not able to attend practice week because I live in another continent,3,I appreciated the oppression ,Yes,"Resume, Recommendation Letter, Minimum # of years of experience, Coaching Licence Level","Website, Social Media Post(s), Video Content from previous generations","Q&A, Topic based","Direct questions to the students, Questions in the end or seperate session, More like a video cast, one way communication to watch it later",1500,Sports Psychology
,,,,,Please do more efforts to help coach get their VISA  to attend practice week and congress ,4,"The practice week could be more interactive, like coaches not only watch team practices but  participate in some of them , and prepare a session to coach youth team for example , kind of practice exams where every coach must do his real work and show what he knows about basketball and coaching ",Yes,"Minimum # of years of experience, Coaching Licence Level",Former Alumni(s),"Q&A, Topic based",Direct questions to the students,2000 euros if they attend  the congress ,Sports Psychology
,"Since not all the coaches are professionals and working only in adult level, I would suggest to adjust some lectures about youth level coaching strengthening and planning","Again, great job in the Congress everything was perfect and very satisfying. I think one of the best experience I ever had.",,"Nothing to say, great job from all the support Stuff always were ready to help without delays.great job",,5,Definitely will suggest it (and already did) to other persons. It was a great experience,Yes,"Minimum # of years of experience, Coaching Licence Level","Website, Social Media Post(s), Video Content from previous generations",Topic based,"Direct questions to the students, Instant questions allowed",In think 1500-1800€ would be fair price ,"Sports Psychology, Youth level "
,,,,,,5,"From my experience in similar training programmes, I think that the approach to the subjects is excellent and comprehensive. 
High level in each subject scientifically documented. 
Perhaps the Academy should even consider creating a postgraduate degree in basketball coaching. 
Iam grateful for the experience!",No,Minimum # of years of experience,"Social Media Post(s), Video Content from previous generations",,Questions in the end or seperate session,3000,Sport Management
,,,,,,4,-,Yes,Resume,Website,Q&A,"More like a video cast, one way communication to watch it later",1000,Sports Psychology
,,,,,,4,Nothin’,Yes,"Resume, Recommendation Letter",Website,"Q&A, Topic based","More like a video cast, one way communication to watch it later",Same,"Sport Management, Sports Psychology"
,,,,,,5,All good and professional ,Yes,"Resume, Minimum # of years of experience, Coaching Licence Level",Former Alumni(s),Topic based,Questions in the end or seperate session,1000,Sports Psychology
"If I watch the videos on the app i need to touch my screen in every 10 seconds, the phone don't know the video format of the app. ",Video register from a practice from every coach. ,,,,,3,More specific zoom session with the coaches with topic and in the and Q&A session. ,Yes,Minimum # of years of experience,Social Media Post(s),Mixt Topic based and in the last part Q&A because many ask questions as jurnalists not as coaches. ,"Questions in the end or seperate session, More like a video cast, one way communication to watch it later",800,Sport Management
,,,,,,4,Thank you,Yes,Resume,"Website, Social Media Post(s)",Topic based,Direct questions to the students,same,"Sport Management, Sports Psychology"
,,,,,I live in Greece and due to my heavy daily schedule I couldn’t participate in out of court experiences and cannot judge correctly the travel’s accommodations etc,5,"I would like to have less detailed academic lectures since we studied in university and focus more on basketball lectures even more exams about technical and tactical topics
I am grateful to be one of the participants in this program !",Yes,"Resume, Minimum # of years of experience, I would recommend some more strict criteria on coaches level of knowledge and experience ","Website, Social Media Post(s), Former Alumni(s)",Topic based,Questions in the end or seperate session,Same price as before,Sport Management
,,I have not participated and couldn't watch the live stream. ,,,,4,,Yes,Resume,"Website, Social Media Post(s)",Topic based,"More like a video cast, one way communication to watch it later",,Sports Psychology
,,,,,,5,Go to the same  way :-) ,No,"Minimum # of years of experience, Coaching Licence Level",Former Alumni(s),Topic based,"More like a video cast, one way communication to watch it later",The same amount,"Sport Management, Sports Psychology"
Ceep it the same,,More structured ,,,More structured ,5,Ad some credits to the certificate ,Yes,Same,"Social Media Post(s), Video Content from previous generations, Congress from previous generations","Q&A, Topic based","Direct questions to the students, Instant questions allowed, Questions in the end or seperate session",Same,"Sport Management, Sports Psychology"
,,"I couldn’t attend the congress, but I watched the live stream and I think it was really good, the atmosphere of the congress, and visiting the top level coaches and learning from them was perfect ",,,"I was expecting to be more involved in the practice week. we were basically just watching the training sessions of the team, which was very good to watch, but I’ve heard that in some other practice weeks the coaching staff spend more time to talk with EHCB coaches about basketball, had an extra gathering to talk about basketball. in general the practice week could be much more useful…
Anyway I know that Efes team was in a hard situation at that time, but we were traveling from different countries around the world to attend that practice week, and were expecting more of that… Meeting with coach Erdem çan and spending time in his training sessions was very good.
By the way meeting with coach Ahmet çaki for 1 session was really great.
Best regards,,",4,"Everything was great, just about practice week, if it would be more organized for EHCB coaches to get the most out of it for the next generations, it would be perfect and we can gain and learn much more things from that..
Thank you,
Best regards",Yes,"Resume, Minimum # of years of experience","Website, Video Content from previous generations","Q&A, Topic based","Instant questions allowed, Questions in the end or seperate session","Maybe 1500 euros, because we have to pay for the practice weeks as well","Sport Management, Sports Psychology"
,,,,,"I supposed to be in Zenit, but couldn't make it. I mark 3 on everything bcuz of that.
I'll be happy to join one next season if I can ",3,"As a young coach, that was an amazing opportunity. I'm trying to learn from anyone as much as I can, and here I gain a lot of knowledge ",Yes,Recommendation Letter,Website,Topic based,Instant questions allowed,The current price is making a lot of sense,"Sport Management, Sports Psychology"
,,,,,,5,More tactical lectures,Yes,Minimum # of years of experience,Congress from previous generations,Topic based,Questions in the end or seperate session,3000 euros,Sport Management
,,,,,,4,,Yes,Resume,"Social Media Post(s), Phone Call Interview",Topic based,"Direct questions to the students, Questions in the end or seperate session",1000,"Sport Management, Sports Psychology"
,Sport Event Management and Marketing ,,,,,5,"EHCB 4th generation was indeed a great experienced and had gave me a great impact in life opening doors for me in the Gambia and other Countries in Africa like Ghana. I'll suggest for the dates and venue of the congress to announce 3 months prior to the event, making it easy for us coaches especially in Africa to book an appointment in the embassy earlier because having appointment to European countries is always difficult. Thank you ",Yes,"Resume, Recommendation Letter","Website, Social Media Post(s), Video Content from previous generations",Q&A,"Questions in the end or seperate session, More like a video cast, one way communication to watch it later",2000 Euro,"Sport Management, Sports Psychology"
