additional_comments_or_suggestions_about_Application_and_Registration_Process.csv,additional_comments_or_suggestions_about_the_Curriculum.csv,additional_comments_or_suggestions_about_Networking.csv,additional_comments_or_suggestions_about_the_Bonus_Lectures.csv,additional_comments_or_suggestions_about_the_Operational_and_Technical_Aspects.csv,additional_comments_or_suggestions_about_the_Practice_Weeks.csv,additional_comments_or_suggestions_about_the_Schedule_and_Attandance.csv,additional_comments_or_suggestions.csv,should_exams_be_part_of_the_curriculum.csv,screening_criteria.csv,decision_to_sign.csv,members_content.csv,what-kind-of-interactivity.csv,suggested-price.csv,what-to-add-for-curriculum.csv
,,"As I said, I thought it would be different, 4th generation student's could be together over the congress, or have one big moment just us to discuss something specific, maybe discussion about experience in practice weeks,  some dynamics to socialize. I had much more network with ""others"" than with the students. To be honest this was the most frustrating part, even more because some of them already knew each other because of practice week and It was really different be part of the small groups ",,,I didn't participate,4,"Maybe for European people is much more valuable to participate, everything is closer and there are more chances to participate and interact with the big group. Again the importance to have something different for students in the congress, I was talking with some friends about the EHCB and congress and they said I'm not going to do the whole thing cause I saw some people participating in congress without being students. But in the and the investment was good, experience was good, I think it worth the most.",Yes,"Resume, Recommendation Letter, An interview ","Website, Video Content from previous generations, Most important for me was related to information about the program, the content of the course and the coaches and professor's background  ","Q&A, Topic based, ","Direct questions to the students, Instant questions allowed","It's not bad, but thinking about coaches arround the world ( outside of Euro zone) it was almost impossible pay for the academy and go for practice week with all the investments ","Sport Management, Sports Psychology"
Promotion start for 5th Generation in social media to be started 1 month earlier than 2023,Each exam period should be announced by EHCB CA,4th Generation was awesome,Bonus lectures should remain a permanent offer at EHCB CA,WhatsApp should be replaced by a more professional communication platform ,Would love to attend other practice weeks as an Alumni/Ambassador next years,4,I’d love to become an ambassador and also work for EHCB CA,Yes,"Resume, Minimum # of years of experience, Coaching Licence Level, High Passion for Basketball","Website, Social Media Post(s), Phone Call Interview, Video Call Interview","Q&A, Topic based","Direct questions to the students, Instant questions allowed, Questions in the end or seperate session",2000,"Sport Management, Sports Psychology"
,,"Unfortunately I was not able to attend the Congress, hopefully next year.",,,"Great experience, probably would be even better if there was 3-5 coaches visiting, not 10-ish. But I know it is very hard to organise it with less number of coaches, because of the number of participants. ",3,"Maybe to find a way to ""reward"" the best students (based on the exams / homeworks, in person meetings at the practice weeks / congress interaction) and maybe offer them one more ""practice week"" or to be the part of the staff of one Euroleague team during their training camp (like Nba summer league). 
Where us, ""young coaches"" could actually coach and be a part of the staff for few days and have more closer / individual interactions and communications with Eurolague coaches / assistant coaches. 
Of course, all of us are ""dreaming"" to one day get to that level, to show our skills, our knowledge and potential, so maybe EHCB could become a platform where you get a chance to make your dreams come true :) 
",Yes,"Resume, Coaching Licence Level",Phone Call Interview,Topic based,Questions in the end or seperate session,I guess the same,"Sport Management, Sports Psychology"
,,,,,,5,No!,No,"Recommendation Letter, Minimum # of years of experience, Coaching Licence Level, At least A-B and 15 years experience",Former Alumni(s),Topic based,,1000,Sports Psychology
,,,,,,4,Keep up the good work.,Yes,"Recommendation Letter, Coaching Licence Level",Phone Call Interview,Topic based,Questions in the end or seperate session,Same like previous,"Sport Management, Sports Psychology"
None,None,,,,,4,None,,Open to all of the coaches who want to get into the accademy,Former Alumni(s),"Q&A, Topic based","Questions in the end or seperate session, More like a video cast, one way communication to watch it later",I don't know,Sports Psychology
,,,,,,5,Better facility with working aircondition in gym for next congres. ,Yes,"Resume, Minimum # of years of experience",Website,Topic based,Questions in the end or seperate session,What it is now,Sports Psychology
Keep in touch with the federations ,Team work by students ( groups) like lectures about some specific topics,It's great !,,The link of recorded lectures doesn't work after we are finished the program  ,It was a good experience!,4,Thank youuuuuuuu !,Yes,"Minimum # of years of experience, Coaching Licence Level",Congress from previous generations,Topic based,Questions in the end or seperate session,The same ,Sport Management
,,,,,"I think the best time is during the pre-season, during the build-up of the teams.",5,No,Yes,"Recommendation Letter, Minimum # of years of experience, Coaching Licence Level",Social Media Post(s),Topic based,"Instant questions allowed, Questions in the end or seperate session",2000 euro,Sport Management
,"Sport psychology about mental resilience would be highly interesting since it’s a topic more and more people become aware of. Since I studied sports management & now I’m trying to get into coaching on a higher level as well, this could be a very intriguing option. Maybe even give participants the option to choose additional modules like Sport Management, or Psychology  ",Please do NOT consider my answers regarding the congress because I was not able to attend! ,"it would be great to have multiple experts to cover the same topic eg. player development, just to compare how each coach/team handles it different. Maybe split the bonus lectures in modules too? Offensive/defensive team tactics, player development, leadership, etc",,"I had the feeling a lot of our week was on short notice and also the meeting with Žalgiris Academy responsibles  was, if I’m not mistaken, organised by a fellow student. Those things could/should be part of the practice week too (IF a EuroLeague team runs such a academy). ",3,"Overall due to the classes, the bonus lectures and the people met I increased my basketball knowledge and became more professional. Also running late in Kaunas and receive a very bad look from Coach Andrea Trincheri made me respect the time a lot more ;)",Yes,"Resume, Motivation letter of applicant, recommendation letter of current club","Website, Former Alumni(s)",Topic based,"Questions in the end or seperate session, More like a video cast, one way communication to watch it later, A video cast and one Q&A live session with smaller groups could be an idea. However, due to my fulltime job I was not always able to join libe classes, so this could be just me.",no changes required,"Sport Management, Sports Psychology"
,,,,,you should announce what should be expected points to have during the practice week and work on making these points happen,4,providing  job offers or being a volunteer coaches in the preseason will add more knowledge  and benefits for students,No,"Minimum # of years of experience, Coaching Licence Level","Website, the need of good basketball education",Topic based,Instant questions allowed,for my country the 2000 euros is very high ,"Sport Management, Sports Psychology"
,,It would have been nice to have your name called out even if you missed the congress . ,They really opened up my mind to coaching aspects and skill,N/a,If someone missed a practice week a good way would be to try and get them to attend one at a later date.,5,"It was a great experience and the wealth of knowledge from the coaches , lecturers and refs was immense.",No,Minimum # of years of experience,Social Media Post(s),Topic based,Questions in the end or seperate session,,Sport Management
I like the process at all,I will add more scouting as it is a very interesting and useful thing in coaching ,,,,"I have one of the best practice week,thank Goran for that!",5,Thanks for everything and for your development!,Yes,I like the previous system first registration than letter and cv in email and than a call with Elena ,Website,Topic based,I like the way they did but add a questions during the lectures as in medical module was done just to be in tonus during a lecture ,It will be better if it will be cheaper but we live in the world of money,Sports Psychology
,,,,,,5,Definitely coming back as alumni to gather more knowledge ,Yes,"Resume, Recommendation Letter",Friends ,Topic based,Instant questions allowed,"Half the current price, since you have to pay for everything during practice weeks, and congress","Sport Management, Sports Psychology"
,,,,,"Unbelievable experience, I still talk about those days and would do it all again next year :-)",4,"EHCB has definitely made me a better coach and person. I really enjoyed it from the first til the last day, especially the practice week and Congress. I have made some great connections with the students and colleagues, and for sure I will continue my further education with EHCB. My suggestion would be regarding modules. Leave them as they are, do not add or change anything. For example, the last month of academy was very busy and dynamic with the lessons and Q&A sessions, bonus lectures, etc, because many of them were cancelled during the course. The last day of congress should be the last day for all activities at the academy. And one more suggestion, the coach of the Euroleague Champion (if he is a member of EHCB) has to say hello to the students during the zoom meeting on the first day of the EHCB course.",Yes,Resume,"Website, Former Alumni(s), Phone Call Interview",Topic based,Questions in the end or seperate session,2000,"Sport Management, Player development "
,"Maybe medical module is not as useful as others, academy lectures about this topic are more than enough. EHCB members lectures to be topic based, so we can see their vision and knowledge where they are the best and most comfortable with. Of course, some Q&A are welcome and necessary. Also adding analytics module and player development lectures will be great","Improve the schedule, for example having enough time to have lunch. Also it would be great to have more exclusivity for the EHCB Academy students, for us to feel that world class basketball ourselves. Having opportunities to meet and talk exclusively with EHCB members would be amazing",I would love to have more of them. Any extra knowledge and opportunities to share basketball and learn from other coaches is always welcomed and a gift for anyone,"I would like communication channels to be more effective and clear. Whatsapp groups are difficult to follow, but are really great for interaction between coaches",,3,"Would be great to have more events and activities to enhance and help networking for all coaches. Also, decrease the number of students would help to improve this topic",Yes,"Resume, Recommendation Letter, Coaching Licence Level, Recommended by former alumni","Social Media Post(s), Phone Call Interview",Topic based,"Direct questions to the students, Questions in the end or seperate session","2000 is ok if it gets improvement in the communication processes, the academy platform and getting more exclusivity as previous generations","Sport Management, Sports Psychology, Enhance the scout module"
,"3*3 topic.
In each topic, the differences between youth and adults and male and female athletes should be stated.  For example, in the topic of sports nutrition, s&c and...",I saw the congress online and was not in person ,,"When we entered the class 5 or 10 minutes late, we could not be added to the panel list!  And since Jelena was angry with the student for asking for the panel list several times, I preferred to be in the class outside of the panel list or I would request yit and I would see a respectful behavior.","Due to work reasons, I could not use the chance to practice week, and Jelena assured me that I can use this quota next year.",3,"No direct contact was made for me with EuroLeague coaches, while I need a mentor to continue my coaching journey.",Yes,,"Social Media Post(s), from MR basketball page(mohamad rahimy) ",Topic based,"Direct questions to the students, Instant questions allowed",1500,"Sport Management, Sports Psychology, spiritual intelligence, Emotional intelligence "
I think that before all candidates fall into Jelena or Amit's hands would be good to have pre-screening call with alumnis who are good enough to do that kind of an interview.,,,,,Every city needs to have alumni which will be kind a tourist guide during Practice week. His/her task must be to prepare all relevant informations about the city where Practive week is held.,3,Excellent opportunity for everyone who wants to work in any piece of the basketball.,Yes,"Resume, Recommendation Letter, First video interview",Website,Q&A,"Direct questions to the students, Questions in the end or seperate session, Mini quiz after every single lesson (2-3 questions) within 5 minutes, so teacher can have a feeling about the lesson understanding.",Same as for this year if number of modules stay the same.,Sports Psychology
,,,,,,4,Practice weeks should happen during pre season,Yes,"Resume, Coaching Licence Level","Website, Social Media Post(s), Video Content from previous generations, Congress from previous generations",Topic based,Instant questions allowed,2000 euro,"Sports Psychology, Analytics"
,"Professors could do more interactions during lessons. Try to solve some situations during live class. Find answers with students, discuss more.",,,,,5,"Instead of covering the topic with monologue, professors should try to find how to interact more with students. In my opinion, some of the lectures were really boring. The others, was much better because of the professors character. That makes big difference. Some of the topic can be more interactive, maybe you should try to find/create the other apps, where students can solve some tasks, create and work out different situations related to topic. Based on the answers lessons can run. While discussing mistake and different point of views. That way can bring more attention from students and the most important, learning process can double up.",Yes,Recommendation Letter,"Social Media Post(s), Former Alumni(s)","Q&A, Topic based","Direct questions to the students, Instant questions allowed, Questions in the end or seperate session",Price is okay,"Sport Management, Sports Psychology"
"it could be more transparent, clearer and more strict ","Generally I would say same things like in previous part. More demanding, more interactive, more serious for the students","I was little bit disappointed about no difference aproach to the generations students and only congress visitors. I literally felt like it means nothing there to studying in the program for months in comparison to whoever who just pay and come for the congress.  No blame or regrets, but honestly it felt little bit dehonestating for the students. 

And of course, I missed more interactivity between lectors and attendees, absence of moderating of discussions and it all due to not using available tools and technologies.","Love the idea of it, but missing more structured approach, now is like more ad hoc and shock dropping to me and it’s not fit much to me because of daily business. When I will be 15 years younger students, I wouldn’t mind, but life of 36 years old working man needs longer period schedules",it would be really long list,it would be many ,1,"thank you for what you doing, I am unbelievably happy to had an opportunity to spend time with you all and for what you just have provided for me. It was one of the best experiences of my life, because for some few months I felt fulfilled with energizing happiness. Tbh, especially in mirror of what I was coming through last year in my life, this program, the feeling of being part of  EHCB was very often the only one thing which fueled me on and made me smile a little. I am not kidding right now and I don’t want be too sentimental, but seriously, EHCB was like a family for me in last months and I am really thankful to you. Please be sure, that when congress ends, I felt nothing but sadness because I realized, it’s just over. So please, keep doing what you do, keep growing as a organisation (I see unbelieve potential of product what you have) and keep giving us the opportunities to feel like a just felt last few months. In these days, whole sociaty need it. Hope there will be some opportunities to stay in touch with EHCB, because it’s awesome. ",Yes,"Resume, Recommendation Letter, Minimum # of years of experience, Coaching Licence Level, personal interview, identification of personal motivation, values and maybe some kind of entrance exam ","Former Alumni(s), lifetime situation finally allowed it","Q&A, Topic based, always combination ","Direct questions to the students, Instant questions allowed, again tricky question, it depends on many factors - I was studying at the university to get my diploma which get me some kind of privilege - so it was serious and student have to obey profs rules and do something and from that perspective it should be more demanding for students. But in the other hand, if the perspective of this program is more like more voluntary knowledge sharing platform, my answer would be different here. ","Tricky question because the real value of the price it’s always individual because it’s always set by customers expectations which are based on their personal experiences, motivations and financial situation   So from my perspective I would diplomatically say that the price for another generations without any significant changes in the program should remain the same.","Sports Psychology, Sport management would be great, but when Sports MBA program by the Euroleague Basketball institute does exist, I don’t think addition of this could be right fitting step."
Onboarding pack would save you questions. Also it should contain exactly what is covered and other info,Finance/data analytics,Specific networking event with a drink and the coaches/students there,"Great topics, great guests. Short notice makes it difficult to follow but I appreciate this is down to the guests",Whatsapp doesnt work great due to the volume of messages and people spamming. Not easy for the organisers either. Sometimes people dont check phones and might miss important messages. A platform would be great but it comes at a cost.,It was a strange week for the team so didn’t make the most of it. Also took a whole week off work but we only really needed two days,4,"Exit opportunities clarified, sufficient notice for lectures, more group tasks",Yes,"Resume, Minimum # of years of experience",Congress from previous generations,"Q&A, Topic based","More like a video cast, one way communication to watch it later", Same if possible,"Sport Management, Sports Psychology, Would be interesting to understand the financial aspects. Also, a lecture on advanced basketball data would be great"
,,,,,I didn’t participate,5,"In general, I think this is great program! I received much more than I expected! 
For me it is just a pity that I missed my practice weak as I can’t go for that long away during the season. 
The Congress was absolutely amazing! Program at the Congress was on the highest level and Glyfada was fantastic! ",Yes,"Resume, Minimum # of years of experience","Social Media Post(s), Congress from previous generations",Q&A,"More like a video cast, one way communication to watch it later",Really don’t know,Sport Management
,,"It was a feeling that a few of the Students had ""a better treatment"" than others.

It could have been organized a social event for the 4th generation.",,"A lot of spamming in WhatsApp chat which doesn't help to find anything you need.
Using WhatsApp is dangerous if someone's change mobile device. It's easy to lose the whole chat and additionally you are not able to see what was writtern before you ender the chat.

As mentioned before:
Teams should have been the second source of checking for the Tests' deadlines, since we had a link of Exam Topics-Dates. I have missed one test unfortunately. The one I asked you the questions which were included.

Regarding lectures, it should be allowed to be downloaded for personal use.","As per my email sent on May.

Training Weeks
One of the most important periods, the Program offers in my opinion and thank you for this opportunity.
- Each Team/Coach has different approach to this, which somehow doesn't make it fair to everyone. For example Weeks in Real, Partizan, Monaco and Red Star, as far as I know, were by far the best.
I suggest you set a minimum of specific things that a Team/Coach can offer to the students that participate. For example:
At least one Scouting/VIdeo Session.
Time spent with Players and Coaching Staff.
At least one member of the Coaching Staff or a member of EHCB who would be in charge to explain what is happening during the practices.
Meetings and spend time with other departments of groups of people that a Head Coach is cooperating with like physios, doctors, management team.
Tour in the locker rooms and the facilities.
During the games seats near the bench in order for the students to have a better picture of ingame coaching.
My experience with Olympiacos, as we had already informed you back then, was not what we were expecting.
We were standing behind the baseline just watching the sessions, no one from the EHCB or the coaching staff was there to explain anything to us, except the last day at the end of the practice.
We did not have any video sessions or meetings with players.

I would suggest agreeing with each Coach and each team about the period of the weeks that they will be more beneficial. For example, there are Coaches, like Coach Bartzokas, that maybe they would prefer to have the students during the preseason. It is something that Coach Bartzokas also suggested.

The most unpleasant was when one day when everyone had left the stadium, one of the students (who probably privately asked coach Triantafyllos), had a private Scouting/Video session for about 40-45 minutes, with scouting reports provided etc.
He did share everything with us, and I thank him, but it is totally different than having a session with a member of the coaching staff.
Obviously, it was a genuine mistake and not something intentionally.",3,"There were not equal oportunities for all the Students to meet and discuss with the members of EHCB. It is part of the life, that if you know someone, you have better approach.
Unfortunately, I do not have any suggestions on how to imporve this.",Yes,"Resume, Minimum # of years of experience, Coaching Licence Level, I suggest a Test (like the one we have during the season), before the start of the Programm each season, would be more fair than a video creation.","Website, Phone Call Interview","Q&A, Topic based","Instant questions allowed, Questions in the end or seperate session","Evaluation of Coaches background. Some of us have already studied at a similar University and it would be more fair to have a discount, since we have already studied the University lectures part.","Sport Management, Sports Psychology"
,,I think Congress was really great,,,Maybe Is some of student has no chance to attend practice week during the season it’s could be as option to implement also practice week with some national team during the summer. Let’s say in my case I would join some national team in the summer to watch and learn.,5,I really like my experience studying in EHCB. I had a lot of chances to learn and also to build networking . Thanks a lot,Yes,Minimum # of years of experience,Former Alumni(s),Topic based,Questions in the end or seperate session,Same price ,Sports Psychology
,,,,,,5,It was a nice experience I would recommend to everyone ,Yes,Resume,Social Media Post(s),Q&A,Instant questions allowed,1500,Sports Psychology
,,,,,,5,It was worth it ,Yes,"Resume, Coaching Licence Level","Website, Social Media Post(s)",Topic based,Instant questions allowed,1000,Sports Psychology
,,,,,,5,It’s a good experience ,Yes,"Resume, Coaching Licence Level",Social Media Post(s),Q&A,"Direct questions to the students, More like a video cast, one way communication to watch it later",2500,Sport Management
Talking with coaches' clubs managers,,,,,,3,Create more zoom calls to discuss about basketball just between alumni ,Yes,Resume,"Social Media Post(s), Video Content from previous generations",Topic based,Instant questions allowed,1600,Sport Management
,,I was unable to attend the congress this year due to national team commitments. ,,,I was unable to attend a practice week due to the scheduling of my academy. ,5,"The EHCB Coaches Academy's 4th Generation program has been an exceptional experience. The updated curriculum provided a comprehensive and immersive learning journey. Despite not being able to attend the congress this year as I did last year, I heard a lot of positive feedback from the coaches and gained valuable insights from their presentations.

The new modules, such as EuroLeague Assistant Coaches Scouting and Strength & Conditioning Coaches Lectures, have significantly expanded our knowledge base, offering cutting-edge insights. The program's structure, with a mix of online lectures and in-person sessions, allowed us to balance our daily work while advancing our coaching skills.

The academic partnership with the University of Belgrade and the involvement of EHCB members have elevated the quality of education, making it one of the premier coaching programs globally. The EHCB Coaches Congress, as reported by my peers, featured engaging panel discussions, masterclasses, and invaluable networking opportunities.

I highly recommend the EHCB Coaches Academy to anyone serious about advancing their coaching career. The knowledge, experience, and connections gained through this program are truly transformative, positioning it at the forefront of basketball coaching education.",Yes,"Resume, Recommendation Letter, Minimum # of years of experience, Coaching Licence Level","Video Content from previous generations, Congress from previous generations","Q&A, Topic based","Questions in the end or seperate session, More like a video cast, one way communication to watch it later",2000,"Sport Management, Sports Psychology"
,If the goal of EHCB is to have a big number of student is almost impossible to do open lecture with Q/A cause not everyone can ask questions. So general lecture to explain and discuss the topic and questions send via email would be more efficent,,,Reminder should be send to people instead of unpolite answer ,Practice week was amazing thanks to real Madrid staff but we couldn't get clarity in terms of time before starting,2,"EHCB is a great organisation and academy is great. You need to decide which road take in order to provide a better experience. Keep it for everyone (as I prefer) or just for professional.
That will change all of the organisation and of course the price",No,None,"Website, Video Content from previous generations, Congress from previous generations",Topic based,"More like a video cast, one way communication to watch it later",2000 euros,Sports Psychology
"Website form needs some updates. As I remember it was not the most user friendly form. 

Also maybe another small research could be done for selection criterias/procedure and implemented with help of some HR experts or industrial psychologists (if possible from the alumnis) to convert this process almost like a ""hiring"" process with different mechanism. First deciding the ""profiles"" / ""roles"" needed and then selecting from the candidates. Goal would be keeping quality high but at the same time keeping the variety. Because I really liked  seeing very young coaches, very experienced coaches, coaches from countless different countries, cultures etc. Academy should be always open to everyone who really wants and who would give its due, who would give the value it deserves. ","Maybe something like a ""graduation project"" could be added to the curriculum. Probably not possible to do it per individuals but for the first year, as a trial, pre-defined projects are offered to everyone then everyone selects one  from the topics (S&C, Psychology, Technology, Anatomy, Scouting...). Some of them could be even related to the Academy itself. Helping the staff from technical perspective or operational perspective might be a good experience for the students as well (IT work group, Practice Weeks work group, Congress Work group etc.). Or the students come up with ideas/proposals. This would create a real self sufficient community, more hands on experiences, more interactions, more impact to everyone and in my opinion would be more chance to teach everyone from the youngest coach to the most experienced national team level coaches. It would create more internship or even finding a job kind of chances in natural and mutual way. 

Content/topic wise I liked the curriculum. It was covering almost everything. Whatever would be there, there will be always ""this is also important, should be in the curriculum"" kind of critisizm. On top of the ones I added above, I would also like to see more ""futuristic"" topics (some experimental defenses, some unorthodox spacing ideas or the way of technology usage in NBA like leagues, latest academic studies on timing or mental health or you name it) as well for example. But I also strongly believe that having a nice stable curriculum and the foundation of the academy and then shaping it without rushing is the best way to create the excellence. So that's why I really liked that everything was based on Yugoslavian school and decided by the academicians of its representatives. However, I would shape it in a way that it covers both ""old school"" and ""new school"" if I can summarize roughly like that. And the way of managing it is keeping the foundation for sure, while adding different perspectives. That's why maybe instead of having the lectures as ""whole package"" from the Belgrade University, spreading this curriculum to the whole europe and all different ""basketball schools"" in Europe. 

  ","I would have expected a different ""atmosphere"" especially in terms of interaction with the Members. Only chance we had to chat with them was while they were waiting for their busses to get away from us :) Having the congress in a bigger gym instead of the hotel where the coaches are staying probably had this kind of disadvantage. But with some additional arrangements (maybe designated drinks at the end of everyday or with a some small event with simple lunch in the beginning of the Congress) this problem could have been tackled. 

Additionally, Congress should provide at least some simple catering like water/coffee/sandwich etc. (doesn't even need to be free). Especially when the lunch break was shorter due to some extended lectures, it was very difficult to find a solution for food/drinks. ","I liked the lectures a lot even though I couldn't attend most of them. But to me it didn't look professional to ask extra money and create some ""exclusiveness"" in the Academy. I would prefer having those lectures already part of the Academy lessons and if needed paying that extra together with the Academy fee. ","To me  the biggest technical problem was having different sources of communication, need of lots of different tools but mainly for the calendar. The calendar we had was great until it was not updated anymore. Additionally a ""dynamic"" calender that you can link with your phone/personal calendar would have been great. 

Mobile App was apperantly not sufficient but I know it is an ongoing process, so I skip the app related feedback.

About the operational manners, what I missed the most was the ""community spirit"". I was expecting more collaboration with the alumnis and the students. Some responsibilities could have given to a ""team"" of ambassadors or alumnis maybe instead of having just one person. An extended team cooperating with Jelena and distributing the responsibilities and communication would have made her also way more efficient and keep the interactions smoother. That's why related to this topic again; having study groups, practice week captains, work groups,  operational team etc. kind of ideas would create a self sufficient and dynamic community which would operate smoothly with combination of great help from dedicated (crazy) people like Jelena :) ","I saw two complete different parts of practice weeks. One was very well organized and with a  dedicated representative from EHCB (Real Madrid with Goran) and the other one was not organized at all and without a dedicated representative from EHCB (Panathinaikos). I will just repeat my suggestion for the sake of being recorded: there should be a check list of things what can teams/coaches offer to the visitor students and what they cannot. Then at least everyone can know upfront what they should expect. From Pao week, personally I already had expected no more communication than what we had (basically Hi & Bye only) with Coach Ataman but I think it is a shame that we couldn't even had a simple Q&A session with him. This kind of details (making him available) are the ""exclusiveness"" feeling that EHCB should try to create for their students. 

But anyways I enjoyed both experiences A LOT from all dimensions. Interaction with assistent coaches of both teams, Coach Mateo, all co-students and Goran was amazing. Lunch with Coach Itoudis was a great additional surprise. ",2,"Maybe it looked like I criticized a lot but all because I would like see that it just gets better in the upcoming generations. I LOVED being part of it and completely satisfied. I enjoyed everything, found something to enjoy with every dimension of it and had zero regrets about the time/money/energy I spent for it. Friendships and memories I collected are priceless. I already suggest it to the coaches that I know and would like to keep being part of it one way or another. 

Special thanks to everyone and their dedication who were part of it, starting with Goran and Jelena!",Yes,"Resume, Recommendation Letter, Some level of on court skills are needed probably for screening but I would add “a decent level of communication skills” and “will to share with community” instead of just seeing this as a ""service I am paying for"" should be somehow considered as criteria. And in my opinion the most important criteria should be ""will to join this Academy"". Rest will always come if someone really wants to join, learn from and share with the Academy. ",Website,"Q&A, Topic based, Maybe collecting ideas already in the beginning of the season from the students in terms of topics, like saying ""I would like to hear Match-up zone from Coach X because they have the best efficiency"". And collecting the questions already maybe one week before from the students and share them with everyone so everyone can rate the questions, then the best rated ones are directed to the coaches.  ","Direct questions to the students, Instant questions allowed, Questions in the end or seperate session, More like a video cast, one way communication to watch it later, Everyone has their own style, but if there is no change in the content or no interactivity is needed then maybe better to just have the video of the topic explained by teachers. Then after everyone watches that video, a live questions/answers session with the teacher would be more efficient. And maybe one more session after the “quiz”. Then the challenge of “having coaches with very different knowledge level” would be tackled a bit more. ","If possible, not much more than what it was. But clearly there is some extra budget needed to make it even better.","Sport Management, Sports Psychology, Sports Technology, Pedagogy"
